model,description
500,"Pearlescent WHITE, This car has a black pattern on it and has a chrome pack, 12 months MOT, Last serviced on 03/10/2013 at 45,118 miles, Full service history, Alloy wheels, CD Player, Electric Windows, In Car Entertainment, Central locking, Power steering. 4 seats, Here are the service intervals 10395, 16000, 21410, 25027, 36195, 45118. All cars have a full pre delivery inspection as well as a 12 month mot and service if required. For more information on this car or to book a test drive ring 01446 735555., Experian auto check clear, £4,490"
polo,"selling my polo very good runner moted cheap run about, please call for more details, SILVER, 5+ owners, Next MOT due 28/07/2015, No service history, £250"
corsa,"BLUE, Good drive, 3 former keepers, 12 months MOT, Average bodywork, Interior - Good Condition, Tyre condition Good, Air-Conditioning, Sunroof Manual, Electric Windows, In Car Entertainment, Power steering, Folding rear seats, Central locking. 5 seats, First to see will Buy, Part exchange possible. HPI Clear., £445"
focus,"Just passed MOT , new tyre , PAS , central locking . Selling due to move  no silly offers as drives fine., RED, 5 seats, £450"
golf,"Non runner for spares or repair. It had one lady owner before I bought it. I had it serviced and checked over after i bought it but sadly the Cam belt broke a few weeks later. So please note it is a non runner and buyer will need to collect from my local garage., SILVER, Electric windows, Air conditioning, Folding rear seats, Spare wheel (Full). 5 seats, £395"
polo,"RED, excellent driving car very good economy 2 former keepers, nice looker in dark metallic red, M.O,T.history, recent service, good engine, smooth 5-speed g. box, Next MOT due 30/11/2015, Power steering, Airbags, Folding rear seats, Radio. 5 seats, Based in Islington close to Finsbury Park ., £695"
focus,"BLUE, Next MOT due 29/07/2015, Interior - Clean Condition, Alloy Wheels, Electric Windows, In Car Entertainment. VIEWING BY APPOINTMENT CALL OR TEXT,www.leedscarmart.co.uk,NO DISCOUNTS, £495"
corsa,"RED, ***12 MONTHS M.O.T ON PURCHASE***2 YEARS WARRANTY AVAILABLE***, In Car Entertainment. GOOD LOOKING EXAMPLE OF THIS VAUXHALL CORSA 1.0I 12V CLUB 3DR FINISHED IN RED METALLIC,SHOWING A MERE 71K FROM NEW WITH A FULL VOSA M.O.T HISTORY AVAILABLE,2 KEYS,PAS/AIRBAGS,REMOTE DOOR LOCKING,ENGINE IMMOBILISER,ELECTRIC WINDOWS,FACTORY FITTED CASSETTE PLAYER,GREY CLOTH INTERIOR WITH HEAD RESTRAINTS,5 SPEED MANUAL GEARBOX,COLOR CODED EXTERIOR INCLUSIVE OF FRONT AND REAR BUMPERS,REAR WASH WIPE,***12 MONTHS M.O.T ON PURCHASE***3 MONTHS WARRANTY AVAILABLE***CARTMEL MOTORS OFFER A EXCLUSIVE RANGE OF VEHICLES TO SUIT ALL BUDGETS,EXTENDED WARRANTY AND SERVICE PACKAGES ALSO AVAILABLE,UNIT 4, CROMPTON STREET,PRESTON,LANCASHIRE,PR1 5RT.,, £490 p/x welcome"
corsa,"RED, Last Owner since 2003, Mechanical very good, Body work Really sound, Next MOT due 16/12/2015, Service history, Good bodywork, Black Cloth interior - Good Condition, Tyre condition Good, MAJOR DEBIT/CREDIT CARDS ACCEPTED, £500"
focus,"RED, TRADE CARS NORTHWICH LTD CW97DR CALL 07880350295 / 07760670682, Upgrades - Solid paint, Climate Pack - Focus, CD upgrade - 6000 RDS EON in lieu of 4000, Delete passenger airbag, 12 months MOT, Standard Features - 6x15 alloy wheels, Electric front windows, One touch facility on driver's window, Stereo radio/cassette model 4000N/4 speakers, Sports style front seats, Remote control central/double locking, Immobiliser-Passive Anti-Theft System (PATS), Driver's seat height adjustment. VISIT OUR WEBSITE WWW.TRADECENTREWARRINGTON.CO.UK, £500"
corsa,"SILVER, MOT 03 December 2015, 5 seats, £495"
fiesta,"RED, HPi Clear, MOT till 27th October 2015, Full Service History (12 Stamps in Service Book - WOW!!!), Drives Nice, 5 seats, Cheap to Run - Low Insurance Group & Cheaper Tax Band, Ideal New Driver Vehicle, PAS, Central Locking (2 Keys), Sunroof, Factory-fitted Stereo, Onboard Trip Computer, Immobiliser, Airbags, Heated Windscreens, Fog Lights, Folding Rear Seats, Original Ford Alloy Wheels, Spare Wheel, Bargain!!!, £389 ono"
focus,"GOLD, Full service history, Next MOT due 04/10/2015, Air-Conditioning, Electric Windows, In Car Entertainment, Air conditioning, Airbags, Alarm, Central locking, Radio, Sunroof, 3x3 point rear seat belts, Immobiliser, Remote central locking, Traction control. 5 seats, £450"
500,"For sale; , 2008 58 Plate Fiat 500 1.2 Lounge - Petrol - Panoramic roof, electric windows, electric mirrors, CD player, all the usual Lounge specifications. , In white with Standard Lounge wheels painted black. 4 brand new tyres.  , Brake discs/pads replaced in February last year together with the timing belts. New exhaust rear silencer too, which seems to have given it a bit more of a grumble! All done when it was in for a service at 72,000miles. Has a full years MOT which expires May next year. , Lovely condition, inside and out. Runs extremely well, starts quick and smooth and drives perfect. Nothing to do, ready to go, very good example. Viewing highly recommended, as is a test drive. , Any questions, queries, etc, please get in touch, any time on 07791802852., WHITE, 3 owners, Next MOT due 11/05/2016, Part service history, Electric windows, Air conditioning, CD player, Folding rear seats, Sports seats, Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Alarm, Driver's airbags, Passenger airbags. 4 seats, £4,495"
polo,"Polo 1.4 95k full mot and full service history full v5.. Very very clean car looked after. Any view recommended....wakefield. offers considered......................., BLACK, 5 seats, £595"
polo,"Very clean inside and out with only age related scratches , drives really well , any inspection welcome ., GREEN, 2 owners, Next MOT due 27/06/2015, Full service history, Electric windows, Air conditioning, Power steering, Steering wheel rake adjustment, Central locking, Driver's airbags. 4 seats, £575"
polo,"BLUE, Next MOT due 15/04/2016, Good bodywork, Interior - Good Condition, Tyre condition Good, 5 seats, Finance & extended warrantys available call for details, £595"
500,"Pearlescent WHITE, 6 months warranty, Full service history, Red Full leather interior, Red Leather Sports Interior, Glass Sunroof, Air-Conditioning, Alloy Wheels, Electric Windows, CD Player, Bluetooth With Usb, Low Insurance, Cheap Road Tax. 4 seats, All Major Credit Cards Accepted, Please See our Website for more Pictures of this car,, £4,490"
polo,"BLACK, N/S FRONT DAMAGE, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £695"
polo,"Solid RED, Next MOT due 12/04/2016, Service history, Excellent bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Excellent, 5 seats, £550 may p/x"
focus,"Good condition for the age, a few minor marks on the body work, a small patch of rust on the bonnet. Full service history, but uses a little oil., SILVER, 4 owners, Next MOT due 16/07/2015, Full service history, Electric windows, CD player, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Metallic paint, Alloy wheels, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Traction control, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £395"
focus,"Metallic GREY, NO MOT,LITTLE BITS OF PAINT REQUIRED BUT WILL MAKE A GOOD LOOKING CAR WITH A LITTLE TLC, Air-Conditioning, Climate Control, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment, Big Sports Alloys, Spoilers, Power steering, Sports exhaust. 5 seats, JUST ARRIVED IN PX, £400"
polo,"BLUE, Next MOT due 05/01/2016, Good bodywork, Interior - Clean Condition, In Car Entertainment. 5 seats, VIEWING BY APPOINTMENT CALL OR TEXT,www.leedscarmart.co.uk,NO DISCOUNTS, £695"
500,"WHITE, LOW MILEAGE , FULL SERVICE HISTORY , 12 MONTH MOT , 1 OWNER FROM NEW , SPARE KEY , RECENTLY £550 spent on a set of 4 new alloy wheels ,, Next MOT due 31/05/2016, Electric Windows, In Car Entertainment, Alarm, Alloy wheels, CD Player, Central locking, Electric door mirrors, Electric windows, Height adjustable drivers seat, Immobiliser, Radio, Remote central locking, Airbags, Power steering, Sports seats, Half leather seats,. 4 seats, £4,299"
500,"SILVER, 12 months MOT, Service history, Good bodywork, Cloth interior - Good Condition, SUNROOF, Alloy wheels, Electric windows, CD Player, Electric Windows, Remote central locking, Power steering, Airbags, Air conditioning, MULTI FUNCTION STEERING WHEEL. 4 seats, 9 SERVICE STAMPS 2 KEYS PX AT SCREEN PRICE, Experian auto check clear, £4,290"
polo,"VW Polo 1.4CL (1999/T), Petrol/Manual. 92k miles, Lots of paperwork, lots of service history, 3 owners & MOT'd until October. The cambelt was changed August 2014 (invoices to prove all work). Very clean inside, no rust, drives very nicely £695 ono, SILVER, 3 owners, Next MOT due 01/10/2015, Part service history, Manual sunroof, Electric windows, CD player, Spare wheel (Full), Power steering, Central locking, Driver's airbags. 5 seats, £645"
corsa,"BLUE, part exchange to clear with mot till 8th august 2015 starts and drive fine but sadley on v-car register cat c hence bargain to clear, In Car Entertainment. please call for further information or to arrange a viewing par texchange possible and all major cards accepted, £495"
corsa,"SILVER, In Car Entertainment. 5 seats, £488"
fiesta,"SILVER, CALL or TXT MOB 07557 900739, Next MOT due 19/05/2015, Alloy Wheels, Electric Windows, In Car Entertainment. RUSTY WHEEL ARCHES , THEY REQUIRE ATTENTION , AND HEAD GASKET FAILURE , HENCE PRICE, Please CALL or TXT  07557 900739 out of opening hours , Sorry we do not take offers on our cars, £185 p/x to clear"
500,"Low mileage Fiat 500, RED, 2 owners, Next MOT due 12/04/2016, Full service history, 4 seats, £4,650"
corsa,"FULL12 MONTHS MOT REQUIRES NEW DUAL MASS FLYWHEEL REFLECTED IN PRICE SLIGHT BUMP ON PASSENGER WING REFLECTED IN PRICE RUNS WELL MOST OLD MOTS SERVICE BOOK AND WALLET NICE CAR CLEAN CAR, SILVER, 3 owners, Next MOT due 21/05/2016, Part service history, Electric windows, CD player, Height adjustable driver's seat, Folding rear seats, Sports seats, Metallic paint, Alloy wheels, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £450"
500,"WHITE, Lovely example just taken in part exchange by ourselves. JUST SERVICED, JUST MOT'D, JUST HAD 2 NEW TYRES, 4 NEW WHEEL TRIMS, READY TO GO, LOVELY EXAMPLE WITH FULL HISTORY, Upgrades - Check Roof, Standard Features - Electric Windows, In Car Entertainment, Airbags, Power steering, Remote central locking, Electric door mirrors, CD Player. 4 seats, Serviced at 11322 miles, 34708 miles, 50639 miles, 56195 miles. MOT 08/04/2016. HPI clear, quality comprehensive warranty as standard, all major debit cards accepted. Please call jon for further details., ALL OUR VEHICLES ARE SOURCED FROM LOCAL MAIN AGENTS AND I ONLY BUY QUALITY CARS WITH F.S.H., £4,495"
corsa,"RED, This is a Part exchange to clear it has a new MOT, it drives well but will be sold on a spares or repair basis., 5 seats, Please see picture of MOT there are 8 Advisories., £450 p/x to clear"
focus,"Metallic SILVER, Next MOT due 20/10/2015, Service history, Average bodywork, Grey Cloth interior - Average Condition, Tyre condition Good, DIRECT FROM A MAIN AGENT, HPI CLEAR, Alloy Wheels, Electric Windows, In Car Entertainment, 3x3 point rear seat belts, Air conditioning, Airbags, Alloy wheels, CD Player, Central locking, Electric windows, Folding rear seats, Electric door mirrors, Power steering, Radio, Remote central locking, LOW INSURANCE, FREE PRE-DELIVERY INSPECTION, FULL DEALERSHIP FACILITIES, CREDIT AND DEBIT CARDS WELCOME, TRADE SALE, WARRANTY AVAILABLE AT EXTRA COST, PLEASE VISIT http://www.essextradesales.co.uk/. 5 seats, £495"
500,"WHITE, FULL S/H, HPI CLEAR, 12 MONTHS WARRANTY, PARKING SENSOR, METALLIC WHITE, LEATHER SEATS, P/X WELCOME,, Next MOT due 21/08/2015, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment, Tinted Glass, Air conditioning, Airbags, CD Player, Alarm, Child locks & Isofix system, Immobiliser, Leather seats, Lumbar support, Parking aid, Power steering, Radio, Remote central locking, Traction control, 3x3 point rear seat belts, Folding rear seats, Height adjustable drivers seat, Central locking, Electric door mirrors. 4 seats, £4,399"
golf,"BLACK, TRADE CARS NORTHWICH LTD CW97DR CALL 07880350295 / 07760670682, VISIT OUR WEBSITE WWW.TRADECENTREWARRINGTON.CO.UK, £490"
polo,"BLUE, Full Service History, MOT'd Till 1st June 2015, P/X To Clear At, 5 seats, This Vehicle Is A Part Exchanged Vehicle To Clear! It Has An MOT Till 1st June 2015, Vehicle Was Used Daily By Previous Owner But We Are Selling As Seen/Scrap Due To Age/Mileage/Shortness Of MOT,  And We Have Been Told It Get's Warm When Left Running, (could be just fan/sensor or head gasket) But Inspections Welcome,  No Offers At £400, We Want £400 No Less., £500"
focus,"BLUE, ++ 9 MONTHS MOT ++, Electric Windows, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE EXCEPT FOR OIL LEAK HENCE PRICE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £350 p/x considered"
fiesta,"BLUE, Just arrived in part exchange. HPI clear. Long mot, Next MOT due 09/04/2016, 5 seats, Debit/credit cards accepted. Any test drive more than welcome. PLEASE PHONE FOR AN APPOINTMENT, £390"
corsa,"Great, well looked after little runaround based in Brixton.  MOT December 2015. Low mileage, very little maintenance needed.  Dual action sunroof.  Removeable CD/Radio with USB port to connect an iPhone etc. Cheap insurance and MOT.  Hand me down family car which has done me well for a few years now and never had any problems.  Only getting rid of it as we need a bigger car as we have a baby on the way., RED, Next MOT due 18/12/2015, £550"
focus,"Metallic SILVER, 3 Owners, Actual Current Mileage 159759miles, Air Conditioning, Sports Seats, Alloy Wheels, In Car Entertainment, Electric Windows, Electric Mirrors, Computer, Power-Assisted Steering, Body Coloured Bumpers, Drivers Airbag, Passengers Airbag, Side Airbags, Remote Central Locking, Alarm Remote Controlled, Immobilliser, Height Adjustable Drivers Seat, Folding Rear Seats, Rear Headrest, Trip Computer, 3x3 Rear Seat Belts, Rear Wiper, Service Indicator, Foglights, **PX To Clear Trade Sale**. 5 seats, £500"
500,"WHITE, 2010/10 FIAT 500 1.2. LOUNGE OUTSTANDING CONDITION, Upgrades - Alloy Wheels 16in Lounge, Dark Tinted Rear Windows, Part service history, Excellent bodywork, White Cloth interior - Excellent Condition, Tyre condition Excellent, Standard Features - 5in Touchscreen Radio. 4 seats, 2010/10 FIAT 500 LOUNGE 1.2 : Finished in the best color combination that is stunning white, with a fantastic luxury white cloth interior trim, This car comes with a good selection of equipment which in brief includes, Remote central locking (2 keys) electric windows, power steering, city power steering button for ease of parking, electric mirrors, radio cd, a/c/climate control, glass panoramic roof, alloy wheels, chrome mirror pack, etc etc This lovely lovely car needs to be seen to be believed she really is a bobby dazzler Call me today to book your test drive., , This lovely 2 owner car has been well cared for and comes with a part service history Her overall condition is outstanding both inside and out that said please remember she is a used car there will be the odd age related mark here and there which has to be expected on any used car however we are struggling to find them, She comes having fantastic Tyre tread levels all round having at least 75% wear still left in each corner, To drive as you can expect she drives simply superb both in the city traffic and when out on the open road she performs just as she should.This is the perfect car for anyone wanting a low cost car to run being £0 for road tax, and being only the 1.2cc engine this car is as economical as they come .Call me today to view this iconic car., All Major Credit/Debit Cards Accepted Px Welcome Call Us For More Details, £4,495 p/x considered"
